Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type   
Pd-Si  	L + Pd2Si = Pd2Si Si+  	44.4  	33.5  	33.9  	1080  	Peritectic  
Pd-Si  	L + Pd2Si Si+ = Pd2Si Si+ rt  	44.6  	33.9  	34.5  	1072  	Peritectic  
Pd-Si  	L = Pd2Si Si+ rt + PdSi ht  	49.3  	34.5  	50  	892  	Eutectic  
Pd-Si  	PdSi = Pd2Si Si+ rt + (Si)  	50  	34.5  	100  	888  	Eutectoid  
Pd-Si  	L = PdSi ht + (Si)  	51.6  	50  	100  	892  	Eutectic  
Pr-Si  	(Pr) ht = L + (Pr) rt  	1  	9  	1  	772  	Peritectic  
Pr-Si  	L = (Pr) rt + Pr5Si3 rt  	11  	0.7  	37.5  	732  	Eutectic  
Pr-Si  	L + Pr5Si4 = Pr5Si3 ht  	34.5  	44.4  	37.5  	1417  	Peritectic  
Pr-Si  	Pr5Si3 ht = L + Pr5Si3 rt  	37.5  	31  	37.5  	1347  	Catatectic  
Pr-Si  	Pr5Si3 ht + Pr5Si4 = Pr5Si3 rt  	37.5  	44.4  	37.5  	1367  	Peritectoid  
Pr-Si  	L + PrSi = Pr5Si4  	40  	50  	55.6  	1532  	Peritectic  
Pr-Si  	L = PrSi  	 	50  	 	1657  	Congruent  
Pr-Si  	L = PrSi + PrSi2 ht  	58  	50  	64  	1542  	Eutectic  
Pr-Si  	PrSi + PrSi2 ht = Pr2Si2.7  	50  	64  	57.1  	1352  	Peritectoid  
Pr-Si  	L = PrSi2 ht  	 	57.1  	 	1712  	Congruent  
Pr-Si  	Pr2Si2.7 + PrSi2 ht = PrSi2 rt  	57.1  	64.3  	64  	157  	Peritectoid  
Pr-Si  	PrSi2 ht = PrSi2 rt + (Si)  	64.3  	64  	100  	-123  	Eutectoid  
Pr-Si  	L = PrSi2 ht + (Si)  	83  	64.3  	100  	1212  	Eutectic  
P-Si  	L = (Si) + SiP  	67.2  	97.6  	50  	1131  	Eutectic  
Pt-Si  	(Pt) + Pt3Si ht = Pt25Si7 rt  	1  	25  	21.9  	842  	Peritectoid  
Pt-Si  	L = (Pt) + Pt3Si ht  	23  	1  	25  	847  	Eutectic  
Pt-Si  	L + Pt12Si5 ht = Pt3Si ht  	24  	32  	25  	876  	Peritectic  
Pt-Si  	Pt3Si ht = Pt3Si rt  	 	25  	 	440  	Polymorphic  
Pt-Si  	Pt3Si ht + Pt12Si5 ht = Pt5Si2 rt  	25  	32  	28.6  	870  	Peritectoid  
Pt-Si  	L + Pt2Si ht = Pt12Si5 ht  	28  	33.3  	32  	1003  	Peritectic  
Pt-Si  	Pt12Si5 ht = Pt12Si5 rt  	 	32  	 	770  	Polymorphic  
Pt-Si  	L = Pt2Si ht  	 	33.3  	 	1118  	Congruent  
Pt-Si  	Pt2Si ht = Pt2Si rt  	 	33.3  	 	745  	Polymorphic  
Pt-Si  	L = Pt2Si ht + Pt6Si5  	38.5  	33.3  	45.5  	995  	Eutectic  
Pt-Si  	L + PtSi = Pt6SI5  	40  	50  	45.5  	1023  	Peritectic  
Pt-Si  	L = PtSi  	 	50  	 	1238  	Congruent  
Pt-Si  	L = PtSi + (Si)  	67  	50  	100  	970  	Eutectic  
Pu-Si  	L = (Pu) ht5 + Pu5Si3  	3.5  	1  	37.5  	590  	Eutectic  
Pu-Si  	(Pu) ht5 + Pu5Si3 = (Pu) ht3  	1  	37.5  	2  	497  	Peritectoid  
Pu-Si  	(Pu) ht5 + (Pu) ht4 = (Pu) ht3  	0  	0  	0  	475  	Peritectoid  
Pu-Si  	(Pu) ht3 = (Pu) ht2 + Pu5Si3  	1  	0  	37.5  	312  	Eutectoid  
Pu-Si  	(Pu) ht2 = (Pu) ht1 + Pu5Si3  	0  	0  	37.5  	212  	Eutectoid  
Pu-Si  	(Pu) ht1 + Pu5Si3 = (Pu) rt  	0  	37.5  	0  	135  	Peritectoid  
Pu-Si  	L + Pu3Si2 = Pu5Si3  	37  	40  	37.5  	1377  	Peritectic  
Pu-Si  	L + Pu3Si2 + PuSi  	40  	40  	50  	1441  	unknown  
Pu-Si  	L = PuSi  	 	50  	 	1576  	Congruent  
Pu-Si  	L = PuSi + PuSi1.67  	54.5  	50  	62.5  	1521  	Eutectic  
Pu-Si  	L = PuSi2 + (Si)  	83.6  	67  	100  	1232  	Eutectic  
Re-Si  	L = (Re) + Re2Si  	16  	10  	33.3  	1710  	Eutectic  
Re-Si  	L = Re2Si  	 	33.3  	 	1810  	Congruent  
Re-Si  	L = Re2Si + ReSi ht  	39  	33.3  	50  	1770  	Eutectic  
Re-Si  	L + ReSi1.75 = ReSi ht  	45  	64.3  	50  	1820  	Peritectic  
Re-Si  	ReSi ht = Re2Si + ReSi1.75  	50  	33.3  	64.3  	1650  	Eutectoid  
Re-Si  	L = ReSi1.75  	 	64.3  	 	1940  	Congruent  
Re-Si  	L = ReSi1.75 + (Si)  	90  	64.3  	100  	1380  	Eutectic  
Rh-Si  	L = (Rh) + Rh2Si  	23  	2.3  	33.3  	1432  	Eutectic  
Rh-Si  	L = Rh2Si  	 	33.3  	 	1622  	Congruent  
Rh-Si  	L + Rh2Si = Rh5Si3  	41  	33.3  	37.5  	1470  	Peritectic  
Rh-Si  	L = Rh5Si3 + RhSi ht  	43  	37.5  	50  	1250  	Eutectic  
Rh-Si  	Rh5Si3 + RhSi ht = Rh20Si13 ht  	37.5  	50  	39.4  	1225  	Peritectoid  
Rh-Si  	Rh20Si13 ht = Rh5Si3 + RhSi rt  	39.4  	37.5  	50  	1050  	Eutectoid  
Rh-Si  	Rh5Si3 + RhSi rt = Rh3Si2 rt  	37.5  	50  	40  	820  	Peritectoid  
Rh-Si  	L = RhSi ht  	 	50  	 	1452  	Congruent  
Rh-Si  	Rh20Si13 ht + RhSi ht = RhSi rt  	39.4  	50  	50  	1080  	Peritectoid  
Rh-Si  	RhSi ht = RhSi rt + Rh4Si5  	51  	51  	55.6  	1025  	Eutectoid  
Rh-Si  	RhSi ht + Rh3Si4 = Rh4Si5  	51  	57.1  	55.6  	1030  	Peritectoid  
Rh-Si  	L = RhSi ht + (Si)  	68.5  	51  	100  	1060  	Eutectic  
Rh-Si  	RhSi ht + (Si) = Rh3Si4  	51  	100  	57.1  	1040  	Peritectoid  
Ru-Si  	L = (Ru) + Ru2Si ht  	31  	4.5  	33.3  	1540  	Eutectic  
Ru-Si  	L + Ru4Si3 = Ru2Si ht  	32  	42.9  	33.3  	1544  	Peritectic  
Ru-Si  	Ru2Si ht = (Ru) + Ru4Si3  	33.3  	0  	42.9  	1245  	Eutectoid  
Ru-Si  	L + RuSi Ru+ = Ru4Si3  	35  	47  	42.9  	1560  	Peritectic  
Ru-Si  	L = RuSi  	 	50  	 	1870  	Congruent  
Ru-Si  	L = RuSi + Ru2Si3  	57  	50  	60  	1680  	Eutectic  
Ru-Si  	L = Ru2Si3  	 	60  	 	1710  	Congruent  
Ru-Si  	L = Ru2Si3 + (Si)  	84  	60  	100  	1300  	Eutectic  
Sb-Si  	L = (Sb) + (Si)  	0.3  	0  	100  	629.661  	Eutectic  
Sc-Si  	L + (Sc) ht = (Sc) rt  	10  	0  	0.5  	1345  	Peritectic  
Sc-Si  	L = (Sc) rt + Sc5Si3  	13.5  	0.5  	37.5  	1285  	Eutectic  
Sc-Si  	L = Sc5Si3  	 	37.5  	 	2028  	Congruent  
Sc-Si  	L + Sc5Si3 = Sc5Si4  	46  	37.5  	44.4  	1920  	Peritectic  
Sc-Si  	L + Sc5Si4 = ScSi  	51  	44.4  	50  	1850  	Peritectic  
Sc-Si  	L + ScSi = ScSi1.67 ht  	56  	50  	55  	1785  	Peritectic  
Sc-Si  	ScSi1.67 ht = ScSi + ScSi1.67 rt  	55  	50  	55  	1325  	Eutectoid  
Sc-Si  	L + ScSi1.67 ht = ScSi1.67 rt  	70  	61  	61  	1350  	Peritectic  
Sc-Si  	L = ScSi1.67 rt + (Si)  	72  	62.5  	99  	1265  	Eutectic  
Se-Si  	L = (Se) + SiSe2  	0.4  	0  	33.3  	216  	Eutectic  
Se-Si  	L = SiSe2  	 	33.3  	 	972  	Congruent  
Se-Si  	L = SiSe2 + SiSe ht  	35.5  	33.3  	50  	946  	Eutectic  
Se-Si  	L + (Si) = SiSe ht  	39  	100  	50  	1190  	Peritectic  
Se-Si  	SiSe ht = SiSe2 + (Si)  	50  	33.3  	100  	870  	Eutectoid  
Si-Sm  	L = (Si) + SmSi2 ht  	11  	0  	33.3  	1250  	Eutectic  
Si-Sm  	L = SmSi2 ht  	 	33.3  	 	1820  	Congruent  
Si-Sm  	SmSi2 ht = SmSi2 rt  	 	33.3  	 	380  	Polymorphic  
Si-Sm  	SmSi2 ht + SmSi = SmSi1.67 rt  	33.3  	50  	37.5  	1580  	Eutectoid  
Si-Sm  	L = SmSi2 ht + SmSi  	41  	33.3  	50  	1650  	Eutectic  
Si-Sm  	L = SmSi  	 	50  	 	1760  	Congruent  
Si-Sm  	L + SmSi = Sm5Si4  	61  	50  	55.6  	1640  	Peritectic  
Si-Sm  	L = Sm5Si3 + (Sm) ht1  	84.5  	62.5  	99  	880  	Eutectic  
Si-Sm  	L + (Sm) ht2 + (Sm) ht1  	87  	100  	100  	922  	unknown  
Si-Sm  	L + Sm5Si4 = Sm5Si3  	67  	55.6  	62.5  	1520  	Peritectic  
Si-Sm  	Sm5Si3 + (Sm) ht1 + (Sm) rt  	62.5  	100  	100  	734  	unknown  
Si-Sn  	(Si) + (Sn) rt + (Sn) lt  	0  	100  	100  	13  	unknown  
Si-Sn  	L = (Si) + (Sn) rt  	100  	0  	100  	231.9  	Eutectic  
Si-Sr  	L = (Si) + SrSi2  	20  	0  	33.3  	1000  	Eutectic  
Si-Sr  	L = SrSi2  	 	33.3  	 	1100  	Congruent  
Si-Sr  	L = SrSi2 + SrSi  	42.8  	33.3  	50  	1045  	Eutectic  
Si-Sr  	L = SrSi  	 	50  	 	1140  	Congruent  
Si-Sr  	L + SrSi = Sr2Si  	69  	50  	66.7  	1010  	Peritectic  
Si-Sr  	L = Sr2Si + (Sr) ht + (Sr) ht  	88.5  	66.7  	100  	700  	Eutectic  
Si-Sr  	Sr2Si + (Sr) ht + (Sr) rt  	66.7  	100  	100  	547  	unknown  
Si-Ta  	L = (Si) + TaSi2  	3.6  	0  	33.3  	1395  	Eutectic  
Si-Ta  	L = TaSi2  	 	33.3  	 	2025  	Congruent  
Si-Ta  	L = TaSi2 + Ta5Si3 rt  	38.6  	33.3  	62.5  	1980  	Eutectic  
Si-Ta  	L = Ta5Si3 ht  	 	62.5  	 	2550  	Congruent  
Si-Ta  	Ta5Si3 ht = Ta5Si3 rt  	 	62.5  	 	2160  	Polymorphic  
Si-Ta  	L + Ta5Si3 ht = Ta2Si  	71  	62.5  	66.7  	2475  	Peritectic  
Si-Ta  	L + Ta2Si = Ta3Si  	77  	66.7  	75  	2345  	Peritectic  
Si-Ta  	L = Ta3Si + (Ta)  	82  	75  	95  	2280  	Eutectic  
Si-Tb  	L = (Si) + TbSi2  	18  	0  	34.5  	1222  	Eutectic  
Si-Tb  	L + Tb3Si5 = TbSi2  	27  	37  	34.5  	1517  	Peritectic  
Si-Tb  	L + TbSi = Tb3Si5  	35  	50  	38  	1638  	Peritectic  
Si-Tb  	L = TbSi  	 	50  	 	1820  	Congruent  
Si-Tb  	L = TbSi + Tb5Si4  	52  	50  	55.6  	1752  	Eutectic  
Si-Tb  	L + Tb5Si3 = Tb5Si4  	54  	62.5  	55.6  	1775  	Peritectic  
Si-Tb  	L = Tb5Si3  	 	62.5  	 	1830  	Congruent  
Si-Tb  	L = Tb5Si3 + (Tb) rt  	87  	62.5  	100  	1110  	Eutectic  
Si-Tb  	L + (Tb) ht + (Tb) rt  	65.5  	100  	100  	1289  	unknown  
Si-Te  	L + (Si) = Si2Te3 rt  	62  	0  	60  	885  	Peritectic  
Si-Te  	L = Si2Te3 rt + (Te)  	85  	60  	100  	407  	Eutectic  
Si-Th  	L = (Si) + ThSi2  	3  	0  	33.3  	1370  	Eutectic  
Si-Th  	L = ThSi2  	 	33.3  	 	1850  	Congruent  
Si-Th  	L + ThSi2 = ThSi1.67  	41  	37  	37.5  	1750  	Peritectic  
Si-Th  	L = ThSi1.67 + ThSi  	42  	37.5  	50  	1720  	Eutectic  
Si-Th  	L + Th3Si2 = ThSi  	47  	60  	50  	1780  	Peritectic  
Si-Th  	L = Th3Si2  	 	60  	 	1900  	Congruent  
Si-Th  	L = Th3Si2 + (Th) ht  	90  	60  	100  	1438  	Eutectic  
Si-Th  	Th3Si2 + (Th) ht + (Th) rt  	60  	100  	100  	1360  	unknown  
Si-Ti  	L = (Si) + TiSi2  	16  	0  	33.3  	1330  	Eutectic  
Si-Ti  	L = TiSi2  	 	33.3  	 	1490  	Congruent  
Si-Ti  	L = TiSi2 + TiSi ht  	36  	33.3  	50  	1480  	Eutectic  
Si-Ti  	L + Ti5Si4 = TiSi ht  	40  	55.6  	50  	1570  	Peritectic  
Si-Ti  	L + Ti5Si3 = Ti5Si4  	52  	60.5  	55.6  	1920  	Peritectic  
Si-Ti  	L = Ti5Si3  	 	62.5  	 	2130  	Congruent  
Si-Ti  	L = Ti5Si3 + (Ti) ht  	86.5  	64.5  	95  	1330  	Eutectic  
Si-Ti  	Ti5Si3 + (Ti) ht = Ti3Si  	64.5  	96  	75  	1170  	Peritectoid  
Si-Ti  	(Ti) ht = Ti3Si + (Ti) rt  	99  	75  	99.5  	865  	Eutectoid  
Si-Tl  	L1 + L2 + (Si)  	0  	100  	0  	1414  	unknown  
Si-Tl  	L2 + (Si) + (Tl) ht  	100  	0  	100  	304  	unknown  
Si-Tl  	(Si) + (Tl) ht + (Tl) rt  	0  	100  	100  	230  	unknown  
Si-Tm  	L = (Si) + TmSi1.67  	15  	0  	37.5  	1200  	Eutectic  
Si-Tm  	L = Tm5Si3 + (Tm)  	85  	62.5  	100  	1300  	Eutectic  
Si-U  	L = (Si) + USi3  	14  	2  	25  	1315  	Eutectic  
Si-U  	L = USi1.88 = USi3  	20  	34.7  	25  	1510  	Peritectic  
Si-U  	USi3 + USi1.88 = USi2 rt  	25  	34.7  	33.3  	450  	Peritectoid  
Si-U  	L + USi1.67 = USi1.88  	34  	37.5  	34.7  	1710  	Peritectic  
Si-U  	L = USi1.67  	 	37.5  	 	1770  	Congruent  
Si-U  	L + USi1.67 = U34Si34.5  	50.5  	37.5  	50  	1580  	Peritectic  
Si-U  	L = U34Si34.5 + U3Si2  	53.5  	50  	60  	1540  	Eutectic  
Si-U  	L = U3Si2  	 	60  	 	1665  	Congruent  
Si-U  	L = U3Si2 + (U) ht2  	91  	60  	97  	985  	Eutectic  
Si-U  	U3Si2 + (U) ht2 = USi3 rt  	60  	98  	75  	930  	Peritectoid  
Si-U  	USi3 rt + (U) ht2 + (U) ht1  	75  	100  	100  	776  	unknown  
Si-U  	USi3 rt + (U) ht1 + (U) rt  	75  	100  	100  	668  	unknown  
Si-V  	L = (Si) + VSi2  	3  	0  	33.3  	1400  	Eutectic  
Si-V  	L = VSi2  	 	33.3  	 	1667  	Congruent  
Si-V  	L = VSi2 + V6Si5 ht  	41  	33.3  	55  	1640  	Eutectic  
Si-V  	L + Si3V5 = V6Si5 ht  	43  	62.5  	55  	1670  	Peritectic  
Si-V  	V6Si5 ht = VSi2 + V5Si3  	55  	33.3  	62.5  	1160  	Eutectoid  
Si-V  	L = V5Si3  	 	62.5  	 	2010  	Congruent  
Si-V  	L = V5Si3 + V3Si rt  	71  	62.5  	74.5  	1895  	Eutectic  
Si-V  	L = V3Si rt  	 	75.5  	 	1925  	Congruent  
Si-V  	L = V3Si rt + (V)  	87  	81  	93  	1870  	Eutectic  
Si-W  	L = (Si) + WSi2  	1  	0  	33.3  	1390  	Eutectic  
Si-W  	L = WSi2  	 	33.3  	 	2160  	Congruent  
Si-W  	L = WSi2 + W5Si3  	40.7  	33.3  	60  	2010  	Eutectic  
Si-W  	L = W5Si3  	 	62.5  	 	2320  	Congruent  
Si-W  	L = W5Si3 + (W)  	68.5  	62.5  	94.5  	2180  	Eutectic  
Si-Y  	L = (Si) + YSi1.67 ht  	18  	0  	37.5  	1230  	Eutectic  
Si-Y  	L + YSi = YSi1.67 ht  	34  	50  	37.5  	1635  	Peritectic  
Si-Y  	L + Y5Si4 = YSi  	47  	55.6  	50  	1820  	Peritectic  
Si-Y  	L + Y5Si3 = Y5Si4  	48.7  	60  	55.6  	1836  	Peritectic  
Si-Y  	L = Y5Si3  	 	62.5  	 	1875  	Congruent  
Si-Y  	L = Y5Si3 + (Y) rt  	87  	62.5  	100  	1260  	Eutectic  
Si-Y  	L + (Y) ht + (Y) rt  	96  	100  	100  	1478  	unknown  
Si-Yb  	L = (Si) + YbSi1.8  	17  	0  	35.7  	1130  	Eutectic  
Si-Yb  	L = Yb5Si3 + (Yb) rt  	85  	62.5  	100  	670  	Eutectic  
Si-Yb  	L + (Yb) ht + (Yb) rt  	97  	100  	100  	795  	unknown  
Si-Zn  	L = (Si) + (Zn)  	99.955  	0  	100  	419.33  	Eutectic  
Si-Zr  	L = (Si) + ZrSi2  	10  	0  	33.3  	1370  	Eutectic  
Si-Zr  	L + ZrSi ht = ZrSi2  	25  	50  	33.3  	1620  	Peritectic  
Si-Zr  	L + Zr5Si4 ht = ZrSi ht  	47  	55.6  	50  	2210  	Peritectic  
Si-Zr  	ZrSi ht = ZrSi rt  	 	50  	 	1460  	Polymorphic  
Si-Zr  	L = Zr5Si4 ht  	 	55.6  	 	2250  	Congruent  
Si-Zr  	Zr5Si4 ht = Zr5Si4 rt  	 	55.6  	 	1860  	Polymorphic  
Si-Zr  	L + Zr5Si4 ht = Zr3Si2  	64  	55.6  	60  	2215  	Peritectic  
Si-Zr  	L + Zr3Si2 = Zr5Si3 ht  	68  	60  	62.8  	2180  	Peritectic  
Si-Zr  	Zr5Si3 ht = Zr3Si2 + SiZr2  	62.5  	60  	66.7  	1745  	Eutectoid  
Si-Zr  	L + Zr2Si = Zr3Si  	88  	66.7  	75  	1650  	Peritectic  
Si-Zr  	L = Zr3Si + (Zr) ht  	91.2  	75  	99.4  	1570  	Eutectic  
Si-Zr  	L + Zr5Si3 ht = Zr2Si  	78  	62.5  	66.7  	1925  	Peritectic  
Si-Zr  	(Zr) ht = Zr3Si + (Zr) rt  	99.7  	75  	99.7  	863  	Eutectic  
S-Si  	unknown  	 	 	 	 	 

Found: 456 reactions
Return to Contents 

ASM Alloy Phase Diagrams Center, P. Villars, editor-in-chief; H. Okamoto and K. Cenzual, section editors;
http://www1.asminternational.org/AsmEnterprise/APD, ASM International, Materials Park, OH, USA, 2006-2015
© ASM International 2015. All Rights Reserved. Version 1.0.5.0

 	Alloy Phase Diagram Database™	Element 1: Element 2: Element 3:  
HomeExplorerSearchToolsHelp
 
Special Points Table

Return to Contents

Chemical System	Reaction	%A	%B	%C	Temperature, °C 	Reaction type 
Ag-Sm  	L = Ag2Sm ht + AgSm  	37  	33.3  	50  	775  	Eutectic  
Ag-Sm  	L = AgSm  	 	50  	 	960  	Congruent  
Ag-Sm  	L = Ag51Sm14  	 	23.5  	 	935  	Congruent  
Ag-Sm  	Ag2Sm ht =Ag2Sm rt  	 	33.3  	 	694  	Polymorphic  
Ag-Sm  	L = (Ag) + Ag51Sm14  	10  	1  	21.5  	760  	Eutectic  
Ag-Sm  	L + Ag51Sm14 = Ag2Sm ht  	36  	25.5  	33.3  	790  	Peritectic  
Ag-Sm  	L = AgSm + (Sm) rt  	82  	50  	100  	675  	Eutectic  
Ag-Sm  	L + (Sm) ht2 + (Sm) ht1  	91  	100  	100  	922  	unknown  
Ag-Sm  	L + (Sm) ht1 + (Sm) rt  	85  	100  	100  	734  	unknown  
Al-Sm  	L = (Al) + SmAl3 rt  	3  	0  	25  	633  	Eutectic  
Al-Sm  	L = SmAl4  	 	21.4  	 	1450  	Congruent  
Al-Sm  	SmAl4 = L + SmAl3 rt  	21.4  	15  	25  	1066  	Catatectic  
Al-Sm  	L = SmAl4 + SmAl2  	23  	21.4  	33.3  	1214  	Eutectic  
Al-Sm  	SmAl4 + SmAl2 = SmAl3  	21.4  	33.3  	25  	1120  	Peritectoid  
Al-Sm  	L = SmAl2  	 	33.3  	 	1500  	Congruent  
Al-Sm  	L = Sm2Al + (Sm) ht1  	75  	66.7  	100  	740  	Eutectic  
As-Sm  	L = SmAs  	 	50  	 	2300  	Congruent  
As-Sm  	L = SmAs + (Sm) ht1  	85  	50  	100  	900  	Eutectic  
As-Sm  	L + (Sm) ht2 + (Sm) ht1  	90  	100  	100  	992  	unknown  
As-Sm  	SmAs + (Sm) ht1 + (Sm) rt  	50  	100  	100  	734  	unknown  
Au-Sm  	L = (Au) + Au6Sm  	11.5  	0.3  	14.3  	770  	Eutectic  
Au-Sm  	L + Au51Sm14 = Au6Sm  	12  	21.5  	14.3  	800  	Peritectic  
Au-Sm  	L = Au51Sm14  	 	21.5  	 	1210  	Congruent  
Au-Sm  	L + Au51Sm14 = Au3Sm ht  	25.5  	21.5  	25  	1135  	Peritectic  
Au-Sm  	Au3Sm ht = Au3Sm rt  	 	25  	 	1035  	Polymorphic  
Au-Sm  	L = Au3Sm ht + Au36Sm17  	28  	25  	33.3  	1085  	Eutectic  
Au-Sm  	L = Au36Sm17  	 	33.3  	 	1180  	Congruent  
Au-Sm  	L = Au36Sm17 + Au10Sm7  	36.5  	33.3  	41.2  	1080  	Eutectic  
Au-Sm  	L + Au7Sm6 = Au10Sm7  	37  	46.2  	41.2  	1105  	Peritectic  
Au-Sm  	L + SmAu rt = Au7Sm6  	37.5  	50  	46.2  	1170  	Peritectic  
Au-Sm  	L = SmAu ht  	 	50  	 	1525  	Congruent  
Au-Sm  	SmAu ht = SmAu rt  	 	50  	 	1480  	Polymorphic  
Au-Sm  	L + SmAu rt = AuSm2  	78  	50  	66.7  	865  	Peritectic  
Au-Sm  	L = AuSm2 + (Sm) rt  	81  	66.7  	100  	705  	Eutectic  
Au-Sm  	L + (Sm) ht1 + (Sm) rt  	81.5  	100  	100  	734  	unknown  
Au-Sm  	(Sm) ht2 = L + (Sm) ht1  	99.7  	84  	100  	878  	Catatectic  
Ba-Sm  	L2 = L1 + (Sm) ht2  	98  	2  	100  	1070  	Monotectic  
Ba-Sm  	L1 + (Sm) ht2 + (Sm) ht1  	1  	100  	100  	922  	unknown  
Ba-Sm  	L1 + (Sm) ht1 + (Sm) rt  	0.5  	100  	100  	734  	unknown  
Ba-Sm  	L1 = (Ba) + (Sm) rt  	0.5  	0  	100  	727  	Eutectic  
Bi-Sm  	L = (Bi) + SmBi2  	1.5  	0  	33.3  	252  	Eutectic  
Bi-Sm  	L + SmBi = SmBi2  	28  	50  	33.3  	1412  	Peritectic  
Bi-Sm  	L = SmBi  	 	50  	 	1817  	Congruent  
Bi-Sm  	L + SmBi = Sm4Bi3  	62  	50  	57.1  	1697  	Peritectic  
Bi-Sm  	L + Sm4Bi3 = Sm5Bi3  	67  	57.1  	62.5  	1605  	Peritectic  
Bi-Sm  	L + Sm5Bi3 = Sm2Bi  	78  	62.5  	66.7  	1297  	Peritectic  
Bi-Sm  	L = Sm2Bi + (Sm) ht2  	84  	66.7  	98  	1025  	Eutectic  
Bi-Sm  	(Sm) ht2 = BiSm2 + (Sm) ht1  	96  	66.7  	99  	897  	Eutectoid  
Bi-Sm  	(Sm) ht1 = BiSm2 + (Sm) rt  	99  	66.7  	100  	374  	Eutectoid  
B-Sm  	L = (B) rhom1 + SmB66  	0.5  	0  	1.5  	2050  	Eutectic  
B-Sm  	L + SmB6 = SmB66  	1  	9.1  	1.5  	2150  	Peritectic  
B-Sm  	L = SmB6  	 	14.3  	 	2580  	Congruent  
B-Sm  	L + SmB6 = SmB4  	27  	14.3  	20  	2400  	Peritectic  
B-Sm  	L + SmB4 = Sm2B5  	35  	20  	28.6  	1350  	Peritectic  
B-Sm  	L = Sm2B5 + (Sm) ht2  	90  	28.6  	100  	1010  	Eutectic  
B-Sm  	Sm2B5 + (Sm) ht2 + (Sm) ht1  	28.6  	100  	100  	922  	unknown  
B-Sm  	Sm2B5 + (Sm) ht1 + (Sm) rt  	28.6  	100  	100  	734  	unknown  
Cd-Sm  	L + (Cd) + Cd11Sm  	0  	0  	8.3  	321.108  	unknown  
Cd-Sm  	L + Cd6Sm = Cd11Sm  	1.5  	14.3  	8.3  	430  	Peritectic  
Cd-Sm  	L + Cd58Sm13 = Cd6Sm  	12.5  	18.3  	14.3  	728  	Peritectic  
Cd-Sm  	L + Cd45Sm11 = Cd58Sm13  	13  	19.6  	18.3  	742  	Peritectic  
Cd-Sm  	L = Cd45Sm11  	 	19.6  	 	976  	Congruent  
Cd-Sm  	L = Cd45Sm11 + Cd2Sm  	25  	19.6  	33.3  	780  	Eutectic  
Cd-Sm  	L = Cd2Sm  	 	33.3  	 	910  	Congruent  
Cd-Sm  	L = Cd2Sm + CdSm  	38  	33.3  	50  	865  	Eutectic  
Cd-Sm  	L = CdSm  	 	50  	 	1023  	Congruent  
Cd-Sm  	L = CdSm + (Sm) rt  	65  	50  	100  	700  	Eutectic  
Ce-Sm  	(Ce ht2,Sm ht2) = (Ce) ht2 + (Ce) rt  	10  	3  	21  	700  	Eutectoid  
Co-Sm  	L = (Co) ht + Sm2Co17  	9.2  	0.04  	10.5  	1327  	Eutectic  
Co-Sm  	L = Sm2Co17  	 	11.5  	 	1347  	Congruent  
Co-Sm  	L + Sm2Co17 = Sm0.95Co5.1 ht  	18  	12.5  	14  	1322  	Peritectic  
Co-Sm  	Sm0.95Co5.1 ht = Sm2Co17 + Sm5Co19  	17  	10.5  	20.8  	810  	Eutectoid  
Co-Sm  	L + Sm0.95Co5.1 ht = Sm5Co19  	26  	18.5  	20.8  	1270  	Peritectic  
Co-Sm  	L + Sm5Co19 = Sm2Co7  	29  	20.8  	22.2  	1241  	Peritectic  
Co-Sm  	L + Sm2Co7 = SmCo3  	33  	22.2  	25  	1200  	Peritectic  
Co-Sm  	L + SmCo3 = SmCo2 rt  	41  	25  	33.3  	1070  	Peritectic  
Co-Sm  	L = SmCo2 rt + Sm5Co2  	63  	33.3  	69.2  	590  	Eutectic  
Co-Sm  	L + Sm3Co = Sm5Co2  	65  	75  	66.7  	613  	Peritectic  
Co-Sm  	L = Sm3Co  	 	75  	 	700  	Congruent  
Co-Sm  	L = Sm3Co + (Sm) rt  	82.6  	75  	100  	670  	Peritectic  
Co-Sm  	L + (Sm) ht2 + (Sm) ht1  	90  	100  	100  	922  	unknown  
Co-Sm  	L + (Sm) ht1 + (Sm) rt  	84  	100  	100  	734  	unknown  
Cr-Sm  	L = L1 + L2  	 	50  	 	2455  	Critical  
Cr-Sm  	L1 = L2 + (Cr)  	11  	0  	56  	1760  	Monotectic  
Cr-Sm  	L2 = (Cr) + (Sm) ht2  	99.35  	0  	100  	1070  	Eutectic  
Cr-Sm  	(Cr) + (Sm) ht2 + (Sm) ht1  	0  	100  	100  	922  	unknown  
Cr-Sm  	(Cr) + (Sm) ht1 + (Sm) rt  	0  	100  	100  	734  	unknown  
Cu-Sm  	L = (Cu) + Cu6Sm  	8.1  	0  	14.3  	907  	Eutectic  
Cu-Sm  	L = Cu6Sm  	 	14.3  	 	967  	Congruent  
Cu-Sm  	L + Cu6Sm = Cu5Sm  	20  	14.3  	16.7  	923  	Peritectic  
Cu-Sm  	L + Cu5Sm = Cu4Sm  	23.5  	16.7  	20  	880  	Peritectic  
Cu-Sm  	L = Cu4Sm + Cu2Sm  	27  	20  	33.3  	829  	Eutectic  
Cu-Sm  	L = Cu2Sm  	 	33.3  	 	855  	Congruent  
Cu-Sm  	L = Cu2Sm + CuSm  	44.3  	33.3  	50  	762  	Eutectic  
