Chemical System	Reaction	%A	%B	%C	Temperature, °C  	Reaction type  
Ag-Nd  	L = Ag51Nd14  	 	23  	 	1025  	Congruent  
Ag-Nd  	L + Ag51Nd14 = Ag2Nd ht  	36  	25.5  	33.3  	825  	Peritectic  
Ag-Nd  	Ag2Nd ht = Ag2Nd rt  	 	33.3  	 	635  	Polymorphic  
Ag-Nd  	L = Ag2Nd ht + AgNd  	40.8  	33.3  	50  	810  	Eutectic  
Ag-Nd  	L = AgNd  	 	50  	 	952  	Congruent  
Ag-Nd  	L = AgNd + (Nd) rt  	80  	50  	99  	640  	Eutectic  
Ag-Nd  	(Nd) ht = L + (Nd) rt  	96.5  	84  	98.5  	741  	Catatectic  
Ag-Ni  	L2 = L1 + (Ni)  	97  	3.89  	99  	1435  	Monotectic  
Ag-Ni  	L1 = (Ag) + (Ni)  	0.321  	0.2  	99.5  	960  	Eutectic  
Ag-Os  	L1 = (Ag) + (Os)  	0  	0  	100  	961  	Eutectic  
Ag-P  	L2 = Ag3P11 + (P)  	100  	78.4  	100  	44.1  	Eutectic  
Ag-Pb  	L = (Ag) + (Pb)  	95.5  	0.8  	99.81  	304  	Eutectic  
Ag-Pm  	L + Ag51Pm14 = Ag2Pm ht  	35  	25  	33.3  	810  	Peritectic  
Ag-Pm  	Ag2Pm ht = Ag2Pm rt  	 	33.3  	 	650  	Polymorphic  
Ag-Pm  	L = Ag2Pm ht + AgPm  	38.5  	33.3  	50  	770  	Eutectic  
Ag-Pm  	L = AgPm  	 	50  	 	960  	Congruent  
Ag-Pm  	L = AgPm + (Pm) rt  	81  	50  	99  	645  	Eutectic  
Ag-Pm  	(Pm) ht = L + (Pm) rt  	99  	87  	99.2  	736  	Catatectic  
Ag-Pm  	L = (Ag) + Ag51Pm14  	10.5  	0  	21.5  	755  	Eutectic  
Ag-Pm  	L = Ag51Pm14  	 	21.5  	 	990  	Congruent  
Ag-Pr  	L = (Ag) + Ag51Pr14  	9.2  	0.05  	21.5  	802  	Eutectic  
Ag-Pr  	L + Ag51Pr14 = Ag5Pr  	13  	21.5  	16.7  	830  	Peritectic  
Ag-Pr  	L = Ag51Pr14  	 	23  	 	1033  	Congruent  
Ag-Pr  	L + Ag51Pr14 = Ag2Pr ht  	36  	25  	33.3  	847  	Peritectic  
Ag-Pr  	Ag2Pr ht = Ag2Pr rt  	 	33.3  	 	617  	Polymorphic  
Ag-Pr  	L = Ag2Pr ht + AgPr  	40  	33.3  	50  	802  	Eutectic  
Ag-Pr  	L = AgPr  	 	50  	 	932  	Congruent  
Ag-Pr  	L = AgPr + (Pr) rt  	78  	50  	99  	586  	Eutectic  
